scenario,source_kind,shell_window,active_flux_constraints,fixed_cascade_waterline,dfc2_status,pointwise_dfc1_status,dual_dfc1_status,weighted_flux_ratio,projection_residual,boundary_allowance,residual_over_allowance,bad_corridor_capacity,worst_backscatter_shell,same_mean_reference_risk,verdict,note
sabra_transition_window_4_12,sabra_smoke,4-12,"fixed_window,no_posthoc_front",blocked_nonmonotone_phi,fail,not_evaluated,blocked,,,,,,,high,blocked: nonmonotone Free-Energy weights,fixed transition window fails before flux evaluation because phi weights are nonmonotone
sabra_tail_window_actual_order_8_14,sabra_smoke,8-14,"fixed_window,median_positive_flux_normalization,no_posthoc_front",tail_waterline_8_14,pass,fail,fail,0.21779031073529345,7.120941376084361,1.365543307724466,5.214731261764711,0.8986317062842164,13,actual_order,fail: Abel-weighted waterline deficit,actual flux order in the fixed monotone tail waterline
sabra_tail_window_sorted_high_weight_control,sabra_matched_control,8-14,"fixed_window,median_positive_flux_normalization,no_posthoc_front",tail_waterline_8_14,pass,fail,pass,4.809909742976094,0.0,1.365543307724466,0.0,0.012795933349356274,10,artificial_high_weight_pass_control,pass control: same flux multiset only after artificial placement,same flux multiset sorted so larger flux lands on larger Abel weights
sabra_tail_window_sorted_low_weight_control,sabra_matched_control,8-14,"fixed_window,median_positive_flux_normalization,no_posthoc_front",tail_waterline_8_14,pass,fail,fail,0.115000493316514,8.056701024607255,1.365543307724466,5.89999671122324,0.9186313521824129,13,matched_low_weight_fail_control,fail: Abel-weighted waterline deficit,same flux multiset sorted so larger flux lands on smaller Abel weights
